Date,Open,High,Low,Close,Volume,Adj Close
"May 19, 2026",296.97,300.51,296.35,298.97,"42,243,600",298.97
"May 18, 2026",300.24,300.66,294.91,297.84,"34,483,000",297.84
"May 15, 2026",297.90,303.20,296.52,300.23,"54,862,800",300.23
"May 14, 2026",299.82,300.45,295.38,298.21,"35,324,900",298.21
"May 13, 2026",293.50,300.92,293.50,298.87,"52,684,300",298.87
"May 12, 2026",292.56,295.27,292.56,294.80,"45,748,100",294.80
"May 11, 2026",291.98,293.88,290.23,292.68,"42,247,300",292.68
"May 8, 2026",290.01,294.76,290.00,293.32,"52,692,800",293.05
"May 7, 2026",289.27,292.13,285.78,287.44,"45,224,300",287.18
"May 6, 2026",281.92,288.03,281.07,287.51,"58,336,100",287.25
"May 5, 2026",276.93,284.57,276.50,284.18,"49,311,700",283.92
"May 4, 2026",279.66,280.63,274.86,276.83,"46,668,400",276.58
"May 1, 2026",278.86,287.22,278.37,280.14,"79,915,400",279.88
"Apr 30, 2026",270.50,276.00,268.14,271.35,"91,848,200",271.10
"Apr 29, 2026",267.55,271.04,267.04,270.17,"30,047,900",269.92
"Apr 28, 2026",272.34,273.23,268.66,270.71,"40,018,900",270.46
"Apr 27, 2026",266.09,268.36,265.07,267.61,"41,466,800",267.36
"Apr 24, 2026",272.76,273.06,269.65,271.06,"38,157,100",270.81
"Apr 23, 2026",275.05,275.77,271.65,273.43,"33,399,600",273.18
"Apr 22, 2026",267.82,273.74,266.87,273.17,"43,249,200",272.92
"Apr 21, 2026",271.50,272.80,265.40,266.17,"50,209,800",265.93
"Apr 20, 2026",270.33,274.28,270.29,273.05,"36,590,200",272.80
"Apr 17, 2026",266.96,272.30,266.72,270.23,"61,436,200",269.98
"Apr 16, 2026",266.80,267.16,261.27,263.40,"43,323,100",263.16
"Apr 15, 2026",258.16,266.56,257.81,266.43,"49,913,500",266.18
"Apr 14, 2026",259.25,261.93,257.19,258.83,"48,370,700",258.59
"Apr 13, 2026",259.73,260.18,256.66,259.20,"36,234,700",258.96
"Apr 10, 2026",259.98,262.19,259.02,260.48,"31,291,500",260.24
"Apr 9, 2026",259.00,261.12,256.07,260.49,"28,121,600",260.25
"Apr 8, 2026",258.45,259.75,256.53,258.90,"41,032,800",258.66
"Apr 7, 2026",256.16,256.20,245.70,253.50,"62,148,000",253.27
"Apr 6, 2026",256.51,262.16,256.46,258.86,"29,329,900",258.62
"Apr 2, 2026",254.20,256.13,250.65,255.92,"31,289,400",255.68
"Apr 1, 2026",254.08,256.18,253.33,255.63,"40,059,400",255.39
"Mar 31, 2026",247.91,255.48,247.10,253.79,"49,598,100",253.56
"Mar 30, 2026",250.07,250.87,245.51,246.63,"39,446,200",246.40
"Mar 27, 2026",253.90,255.49,248.07,248.80,"47,900,000",248.57
"Mar 26, 2026",252.12,257.00,250.77,252.89,"41,796,700",252.66
"Mar 25, 2026",254.10,255.00,251.60,252.62,"28,476,700",252.39
"Mar 24, 2026",250.35,254.83,249.55,251.64,"45,152,300",251.41
"Mar 23, 2026",253.97,254.60,250.28,251.49,"40,546,100",251.26
"Mar 20, 2026",247.98,249.20,246.00,247.99,"88,331,100",247.76
"Mar 19, 2026",249.40,251.83,247.30,248.96,"34,864,100",248.73
"Mar 18, 2026",252.63,254.94,249.00,249.94,"35,757,900",249.71
"Mar 17, 2026",252.96,255.13,252.18,254.23,"32,361,600",254.00
"Mar 16, 2026",252.11,253.89,249.88,252.82,"32,074,200",252.59
"Mar 13, 2026",255.48,256.33,249.52,250.12,"36,930,000",249.89
"Mar 12, 2026",258.66,258.95,254.18,255.76,"40,794,000",255.52
"Mar 11, 2026",261.09,262.13,259.55,260.81,"26,218,900",260.57
"Mar 10, 2026",257.65,262.48,256.95,260.83,"30,590,800",260.59
"Mar 9, 2026",255.69,261.15,253.68,259.88,"38,218,500",259.64
"Mar 6, 2026",258.63,258.77,254.37,257.46,"41,120,000",257.22
"Mar 5, 2026",260.79,261.56,257.25,260.29,"49,658,600",260.05
"Mar 4, 2026",264.65,266.15,261.42,262.52,"39,803,100",262.28
"Mar 3, 2026",263.48,265.56,260.13,263.75,"38,568,900",263.51
"Mar 2, 2026",262.41,266.53,260.20,264.72,"41,827,900",264.48
"Feb 27, 2026",272.81,272.81,262.89,264.18,"72,366,500",263.94
"Feb 26, 2026",274.95,276.11,270.80,272.95,"32,345,100",272.70
"Feb 25, 2026",271.78,274.94,271.05,274.23,"33,714,300",273.98
"Feb 24, 2026",267.86,274.89,267.71,272.14,"47,014,600",271.89
"Feb 23, 2026",263.49,269.43,263.38,266.18,"37,308,200",265.93
"Feb 20, 2026",258.97,264.75,258.16,264.58,"42,070,500",264.34
"Feb 19, 2026",262.60,264.48,260.05,260.58,"30,845,300",260.34
"Feb 18, 2026",263.60,266.82,262.45,264.35,"34,203,300",264.11
"Feb 17, 2026",258.05,266.29,255.54,263.88,"58,469,100",263.64
"Feb 13, 2026",262.01,262.23,255.45,255.78,"56,290,700",255.54
"Feb 12, 2026",275.59,275.72,260.18,261.73,"81,077,200",261.49
"Feb 11, 2026",274.70,280.18,274.45,275.50,"51,931,300",275.25
"Feb 10, 2026",274.89,275.37,272.94,273.68,"34,376,900",273.43
"Feb 9, 2026",277.91,278.20,271.70,274.62,"44,623,400",274.37
"Feb 6, 2026",277.12,280.91,276.93,278.12,"50,453,400",277.60
"Feb 5, 2026",278.13,279.50,273.23,275.91,"52,977,400",275.40
"Feb 4, 2026",272.29,278.95,272.29,276.49,"90,545,700",275.98
"Feb 3, 2026",269.20,271.88,267.61,269.48,"64,394,700",268.98
"Feb 2, 2026",260.03,270.49,259.21,270.01,"73,913,400",269.51
"Jan 30, 2026",255.17,261.90,252.18,259.48,"92,443,400",259.00
"Jan 29, 2026",258.00,259.65,254.41,258.28,"67,253,000",257.80
"Jan 28, 2026",257.65,258.86,254.51,256.44,"41,288,000",255.96
"Jan 27, 2026",259.17,261.95,258.21,258.27,"49,648,300",257.79
"Jan 26, 2026",251.48,256.56,249.80,255.41,"55,969,200",254.94
"Jan 23, 2026",247.32,249.41,244.68,248.04,"41,689,000",247.58
"Jan 22, 2026",249.20,251.00,248.15,248.35,"39,708,300",247.89
"Jan 21, 2026",248.70,251.56,245.18,247.65,"54,641,700",247.19
"Jan 20, 2026",252.73,254.79,243.42,246.70,"80,267,500",246.24
"Jan 16, 2026",257.90,258.90,254.93,255.53,"72,142,800",255.06
"Jan 15, 2026",260.65,261.04,257.05,258.21,"39,388,600",257.73
"Jan 14, 2026",259.49,261.82,256.71,259.96,"40,019,400",259.48
"Jan 13, 2026",258.72,261.81,258.39,261.05,"45,730,800",260.57
"Jan 12, 2026",259.16,261.30,256.80,260.25,"45,263,800",259.77
"Jan 9, 2026",259.08,260.21,256.22,259.37,"39,997,000",258.89
"Jan 8, 2026",257.02,259.29,255.70,259.04,"50,419,300",258.56
"Jan 7, 2026",263.20,263.68,259.81,260.33,"48,309,800",259.85
"Jan 6, 2026",267.00,267.55,262.12,262.36,"52,352,100",261.87
"Jan 5, 2026",270.64,271.51,266.14,267.26,"45,647,200",266.76
"Jan 2, 2026",272.26,277.84,269.00,271.01,"37,838,100",270.51
"Dec 31, 2025",273.06,273.68,271.75,271.86,"27,293,600",271.36
"Dec 30, 2025",272.81,274.08,272.28,273.08,"22,139,600",272.57
"Dec 29, 2025",272.69,274.36,272.35,273.76,"23,715,200",273.25
"Dec 26, 2025",274.16,275.37,272.86,273.40,"21,521,800",272.89
"Dec 24, 2025",272.34,275.43,272.20,273.81,"17,910,600",273.30
"Dec 23, 2025",270.84,272.50,269.56,272.36,"29,642,000",271.85
"Dec 22, 2025",272.86,273.88,270.51,270.97,"36,571,800",270.47
"Dec 19, 2025",272.15,274.60,269.90,273.67,"144,632,000",273.16
"Dec 18, 2025",273.61,273.63,266.95,272.19,"51,630,700",271.69
"Dec 17, 2025",275.01,276.16,271.64,271.84,"50,138,700",271.34
"Dec 16, 2025",272.82,275.50,271.79,274.61,"37,648,600",274.10
"Dec 15, 2025",280.15,280.15,272.84,274.11,"50,409,100",273.60
"Dec 12, 2025",277.90,279.22,276.82,278.28,"39,532,900",277.76
"Dec 11, 2025",279.10,279.59,273.81,278.03,"33,248,000",277.51
"Dec 10, 2025",277.75,279.75,276.44,278.78,"33,038,300",278.26
"Dec 9, 2025",278.16,280.03,276.92,277.18,"32,193,300",276.67
"Dec 8, 2025",278.13,279.67,276.15,277.89,"38,211,800",277.37
"Dec 5, 2025",280.54,281.14,278.05,278.78,"47,265,800",278.26
"Dec 4, 2025",284.10,284.73,278.59,280.70,"43,989,100",280.18
"Dec 3, 2025",286.20,288.62,283.30,284.15,"43,538,700",283.62
"Dec 2, 2025",283.00,287.40,282.63,286.19,"53,669,500",285.66
"Dec 1, 2025",278.01,283.42,276.14,283.10,"46,587,700",282.58
"Nov 28, 2025",277.26,279.00,275.99,278.85,"20,135,600",278.33
"Nov 26, 2025",276.96,279.53,276.63,277.55,"33,431,400",277.04
"Nov 25, 2025",275.27,280.38,275.25,276.97,"46,914,200",276.46
"Nov 24, 2025",270.90,277.00,270.90,275.92,"65,585,800",275.41
"Nov 21, 2025",265.95,273.33,265.67,271.49,"59,030,800",270.99
"Nov 20, 2025",270.83,275.43,265.92,266.25,"45,823,600",265.76
"Nov 19, 2025",265.53,272.21,265.50,268.56,"40,424,500",268.06
"Nov 18, 2025",269.99,270.71,265.32,267.44,"45,677,300",266.94
"Nov 17, 2025",268.82,270.49,265.73,267.46,"45,018,300",266.96
"Nov 14, 2025",271.05,275.96,269.60,272.41,"47,431,300",271.90
"Nov 13, 2025",274.11,276.70,272.09,272.95,"49,602,800",272.44
"Nov 12, 2025",275.00,275.73,271.70,273.47,"48,398,000",272.96
"Nov 11, 2025",269.81,275.91,269.80,275.25,"46,208,300",274.74
"Nov 10, 2025",268.96,273.73,267.46,269.43,"41,312,400",268.93
"Nov 7, 2025",269.80,272.29,266.77,268.47,"48,227,400",267.71
"Nov 6, 2025",267.89,273.40,267.89,269.77,"51,204,000",269.01
"Nov 5, 2025",268.61,271.70,266.93,270.14,"43,683,100",269.38
"Nov 4, 2025",268.33,271.49,267.62,270.04,"49,274,800",269.28
"Nov 3, 2025",270.42,270.85,266.25,269.05,"50,194,600",268.29
"Oct 31, 2025",276.99,277.32,269.16,270.37,"86,167,100",269.61
"Oct 30, 2025",271.99,274.14,268.48,271.40,"69,886,500",270.63
"Oct 29, 2025",269.28,271.41,267.11,269.70,"51,086,700",268.94
"Oct 28, 2025",268.99,269.89,268.15,269.00,"41,534,800",268.24
"Oct 27, 2025",264.88,269.12,264.65,268.81,"44,888,200",268.05
"Oct 24, 2025",261.19,264.13,259.18,262.82,"38,253,700",262.08
"Oct 23, 2025",259.94,260.62,258.01,259.58,"32,754,900",258.85
"Oct 22, 2025",262.65,262.85,255.43,258.45,"45,015,300",257.72
"Oct 21, 2025",261.88,265.29,261.83,262.77,"46,695,900",262.03
"Oct 20, 2025",255.89,264.38,255.63,262.24,"90,483,000",261.50
"Oct 17, 2025",248.02,253.38,247.27,252.29,"49,147,000",251.58
"Oct 16, 2025",248.25,249.04,245.13,247.45,"39,777,000",246.75
"Oct 15, 2025",249.49,251.82,247.47,249.34,"33,893,600",248.64
"Oct 14, 2025",246.60,248.85,244.70,247.77,"35,478,000",247.07
"Oct 13, 2025",249.38,249.69,245.56,247.66,"38,142,900",246.96
"Oct 10, 2025",254.94,256.38,244.00,245.27,"61,999,100",244.58
"Oct 9, 2025",257.81,258.00,253.14,254.04,"38,322,000",253.32
"Oct 8, 2025",256.52,258.52,256.11,258.06,"36,496,900",257.33
"Oct 7, 2025",256.81,257.40,255.43,256.48,"31,955,800",255.76
"Oct 6, 2025",257.99,259.07,255.05,256.69,"44,664,100",255.97
"Oct 3, 2025",254.67,259.24,253.95,258.02,"49,155,600",257.29
"Oct 2, 2025",256.58,258.18,254.15,257.13,"42,630,200",256.40
"Oct 1, 2025",255.04,258.79,254.93,255.45,"48,713,900",254.73
"Sep 30, 2025",254.86,255.92,253.11,254.63,"37,704,300",253.91
"Sep 29, 2025",254.56,255.00,253.01,254.43,"40,127,700",253.71
"Sep 26, 2025",254.10,257.60,253.78,255.46,"46,076,300",254.74
"Sep 25, 2025",253.21,257.17,251.71,256.87,"55,202,100",256.15
"Sep 24, 2025",255.22,255.74,251.04,252.31,"42,303,700",251.60
"Sep 23, 2025",255.88,257.34,253.58,254.43,"60,275,200",253.71
"Sep 22, 2025",248.30,256.64,248.12,256.08,"105,517,400",255.36
"Sep 19, 2025",241.23,246.30,240.21,245.50,"163,741,300",244.81
"Sep 18, 2025",239.97,241.20,236.65,237.88,"44,249,600",237.21
"Sep 17, 2025",238.97,240.10,237.73,238.99,"46,508,000",238.32
"Sep 16, 2025",237.18,241.22,236.32,238.15,"63,421,100",237.48
"Sep 15, 2025",237.00,238.19,235.03,236.70,"42,699,500",236.03
"Sep 12, 2025",229.22,234.51,229.02,234.07,"55,824,200",233.41
"Sep 11, 2025",226.88,230.45,226.65,230.03,"50,208,600",229.38
"Sep 10, 2025",232.19,232.42,225.95,226.79,"83,440,800",226.15
"Sep 9, 2025",237.00,238.78,233.36,234.35,"66,313,900",233.69
"Sep 8, 2025",239.30,240.15,236.34,237.88,"48,999,500",237.21
"Sep 5, 2025",240.00,241.32,238.49,239.69,"54,870,400",239.01
"Sep 4, 2025",238.45,239.90,236.74,239.78,"47,549,400",239.10
"Sep 3, 2025",237.21,238.85,234.36,238.47,"66,427,800",237.80
"Sep 2, 2025",229.25,230.85,226.97,229.72,"44,075,600",229.07
"Aug 29, 2025",232.51,233.38,231.37,232.14,"39,418,400",231.49
"Aug 28, 2025",230.82,233.41,229.34,232.56,"38,074,700",231.90
"Aug 27, 2025",228.61,230.90,228.26,230.49,"31,259,500",229.84
"Aug 26, 2025",226.87,229.49,224.69,229.31,"54,575,100",228.66
"Aug 25, 2025",226.48,229.30,226.23,227.16,"30,983,100",226.52
"Aug 22, 2025",226.17,229.09,225.41,227.76,"42,477,800",227.12
"Aug 21, 2025",226.27,226.52,223.78,224.90,"30,621,200",224.27
"Aug 20, 2025",229.98,230.47,225.77,226.01,"42,263,900",225.37
"Aug 19, 2025",231.28,232.87,229.35,230.56,"39,402,600",229.91
"Aug 18, 2025",231.70,233.12,230.11,230.89,"37,476,200",230.24
"Aug 15, 2025",234.00,234.28,229.34,231.59,"56,038,700",230.94
"Aug 14, 2025",234.06,235.12,230.85,232.78,"51,916,300",232.12
"Aug 13, 2025",231.07,235.00,230.43,233.33,"69,878,500",232.67
"Aug 12, 2025",228.01,230.80,227.07,229.65,"55,626,200",229.00
"Aug 11, 2025",227.92,229.56,224.76,227.18,"61,806,100",226.54
"Aug 8, 2025",220.83,231.00,219.25,229.35,"113,854,000",228.44
"Aug 7, 2025",218.88,220.85,216.58,220.03,"90,224,800",219.16
"Aug 6, 2025",205.63,215.38,205.59,213.25,"108,483,100",212.41
"Aug 5, 2025",203.40,205.34,202.16,202.92,"44,155,100",202.12
"Aug 4, 2025",204.51,207.88,201.68,203.35,"75,109,300",202.55
"Aug 1, 2025",210.87,213.58,201.50,202.38,"104,434,500",201.58
"Jul 31, 2025",208.49,209.84,207.16,207.57,"80,698,400",206.75
"Jul 30, 2025",211.90,212.39,207.72,209.05,"45,512,500",208.22
"Jul 29, 2025",214.18,214.81,210.82,211.27,"51,411,700",210.44
"Jul 28, 2025",214.03,214.85,213.06,214.05,"37,858,000",213.20
"Jul 25, 2025",214.70,215.24,213.40,213.88,"40,268,800",213.03
"Jul 24, 2025",213.90,215.69,213.53,213.76,"46,022,600",212.92
